time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
Mei,31.75,140.3537,91.32,4.9,mb,5.57274,89,1.435,1.08,us
Mei,33.1624,142.6369,10,5.2,mww,5.2,33,2.369,0.81,us
Juni,40.1959,142.4964,37.68,4.8,mb,5.51776,102,1.242,0.89,us
Juni,42.001,144.2792,25.05,4.6,mb,5.41464,124,0.836,0.89,us
Juni,38.9493,142.1729,63.26,4.3,mb,5.27706,217,2.026,0.27,us
Juni,30.8714,142.2203,10,4.5,mb,5.3665,101,3.051,0.49,us
Juni,36.1168,141.7464,35,4.4,mb,5.32064,99,2.887,0.56,us
Juni,30.5308,131.1152,39.85,4.5,mb,5.3665,101,1.129,0.83,us
Juni,32.0125,139.8917,127.23,4.4,mb,5.32064,113,1.101,0.72,us
Juni,29.044,143.7932,10,4.1,mb,5.19674,184,2.405,0.83,us
Juni,36.4003,142.701,10,4.3,mb,5.27706,149,3.623,0.7,us
Juni,29.4668,141.1128,58.61,4.4,mb,5.32064,132,2.544,0.48,us
Juni,31.3015,131.6558,41.16,4.3,mb,5.27706,130,1.049,0.76,us
Juni,37.6847,142.2248,46.18,4.5,mb,5.3665,177,3.228,0.62,us
Juni,34.5639,140.2966,85.66,5,mww,5,93,1.499,1.18,us
Juni,42.8531,143.9664,65.62,4.4,mb,5.32064,115,1.029,1.2,us
Juni,36.5225,141.7004,42.2,4.3,mb,5.27706,120,2.812,0.71,us
Juni,30.9133,142.3077,10,4.2,mb,5.23576,153,3.05,0.76,us
Juni,37.8148,141.8306,58.22,4.8,mb,5.51776,88,3.029,0.84,us
Juni,36.4075,143.0603,10,5.3,mww,5.3,83,3.912,0.49,us
Juni,39.899,142.1931,44.11,4.9,mb,5.57274,70,1.238,0.64,us
Juni,35.5577,139.7215,130.53,4.5,mb,5.3665,106,1.536,0.86,us
Juni,40.1213,142.3654,42.51,5,mww,5,98,1.196,0.63,us
Juni,41.0007,142.2853,56.68,4.8,mb,5.51776,87,0.949,0.79,us
Juni,42.1987,142.8435,76.14,4.6,mb,5.41464,73,0.296,0.66,us
Juni,39.868,142.2289,35.91,4.1,mb,5.19674,155,1.28,0.62,us
Juni,43.1589,141.611,161.91,4.4,mb,5.32064,77,1.195,0.69,us
Juni,36.3754,143.1172,10,4.3,mb,5.27706,140,3.96,1.17,us
Juni,40.9637,141.9169,66.01,4,mb,5.16,138,0.669,0.23,us
Juni,36.8339,140.591,10,4.2,mb,5.23576,153,1.936,1.06,us
Juni,43.1781,145.6821,70.59,4.2,mb,5.23576,196,2.431,0.36,us
Juni,29.6636,131.0354,23.83,4.4,mb,5.32064,129,1.907,0.9,us
Juni,33.6404,138.6055,10,4.5,mb,5.3665,67,1.092,0.66,us
Juni,30.2668,138.7912,418.11,4.2,mb,5.23576,69,2.966,0.81,us
Juni,34.8992,141.7647,10,4.5,mb,5.3665,104,2.406,0.65,us
Juni,34.5034,140.6554,10,4.2,mb,5.23576,165,1.551,0.6,us
Juni,33.5055,132.5646,41.87,4.9,mb,5.57274,41,1.117,0.81,us
