time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
2021-08-03T04:38:59.328Z,42.8193,140.9553,146.05,4.5,mb,5.3665,58,1.763,0.55,us
2021-08-02T21:39:12.534Z,36.2416,141.9017,15.48,4.4,mb,5.32064,117,2.994,0.94,us
2021-08-02T15:35:32.843Z,36.1783,141.8431,27.47,4.7,mb,5.46506,115,2.955,0.48,us
2021-08-02T00:37:27.685Z,35.0453,133.0453,20.81,4.4,mb,5.32064,109,1.479,0.67,us
2021-08-01T13:50:29.962Z,34.4672,139.758,123.4,4.3,mb,5.27706,126,1.316,0.49,us
2021-07-31T12:02:18.587Z,33.8656,141.9196,10,4.3,mb,5.27706,149,1.912,0.44,us
2021-07-31T05:26:05.128Z,43.3488,141.6214,167.77,5,mww,5,81,1.043,0.61,us
2021-07-31T04:09:45.731Z,33.8647,134.5869,41.43,4.7,mb,5.46506,82,0.606,0.6,us
2021-07-30T21:10:30.330Z,29.5589,142.4591,10,4.6,mb,5.41464,137,4.223,0.88,us
2021-07-30T09:59:22.412Z,33.4784,141.15,35,4.2,mb,5.23576,135,1.176,0.55,us
2021-07-30T04:05:12.738Z,40.1664,142.4207,40.48,4.5,mb,5.3665,126,1.207,0.76,us
2021-07-29T07:17:15.436Z,36.6841,141.5677,42.87,4.6,mb,5.41464,139,2.706,0.71,us
2021-07-28T18:19:52.455Z,35.3003,141.0774,37.55,4.5,mb,5.3665,118,2.418,1,us
2021-07-27T16:52:30.841Z,36.3686,140.0385,79.3,4.6,mb,5.41464,142,1.485,0.6,us
2021-07-27T05:37:51.134Z,34.5615,136.619,353.89,4.4,mb,5.32064,34,0.855,0.63,us
2021-07-27T04:39:18.530Z,36.616,140.9679,46.82,4.6,mb,5.41464,128,2.221,0.56,us
2021-07-26T20:19:22.539Z,37.3756,141.2536,92.47,4.6,mb,5.41464,97,2.576,0.69,us
2021-07-26T03:23:06.515Z,34.369,136.6864,368.25,4.2,mb,5.23576,39,1.018,0.78,us
2021-07-26T02:16:15.813Z,41.4815,142.0615,55.88,5.2,mww,5.2,78,0.977,0.76,us
2021-07-25T11:47:53.949Z,29.7787,137.4628,509.22,4.1,mb,5.19674,75,3.885,0.86,us
2021-07-23T21:55:49.714Z,31.7581,139.6253,151.7,4.4,mb,5.32064,121,1.362,0.68,us
